        0     6e+06        10         0 
     0.01     6e+06      10.1    0.0143 
    0.102     6e+06      10.9     0.151 
    0.466     6e+06      14.9     0.808 
     1.31     6e+06      29.6      3.26 
     2.64     6e+06      82.5      12.1 
     3.66     6e+06       186      29.3 
     4.24     6e+06       300      48.3 
     4.65     6e+06       426      69.3 
     4.99     6e+06       567      92.8 
     5.27     6e+06       716       118 
      5.5     6e+06       873       144 
     5.71     6e+06  1.04e+03       172 
     5.89     6e+06  1.22e+03       202 
     6.06     6e+06  1.41e+03       234 
     6.21     6e+06   1.6e+03       266 
     6.35     6e+06   1.8e+03       299 
     6.48     6e+06  2.02e+03       335 
      6.6     6e+06  2.23e+03       371 
     6.71     6e+06  2.46e+03       409 
     6.81     6e+06  2.69e+03       446 
     6.91     6e+06  2.92e+03       486 
     7.01     6e+06  3.17e+03       527 
      7.1     6e+06  3.43e+03       569 
     7.18     6e+06  3.69e+03       613 
     7.26     6e+06  3.95e+03       657 
     7.34     6e+06  4.22e+03       703 
     7.42  5.99e+06   4.5e+03       749 
     7.49  5.99e+06  4.78e+03       796 
     7.55  5.99e+06  5.07e+03       843 
     7.62  5.99e+06  5.35e+03       891 
     7.68  5.99e+06  5.64e+03       940 
     7.74  5.99e+06  5.94e+03       989 
      7.8  5.99e+06  6.24e+03  1.04e+03 
     7.85  5.99e+06  6.54e+03  1.09e+03 
     7.91  5.99e+06  6.85e+03  1.14e+03 
     7.96  5.99e+06  7.16e+03  1.19e+03 
     8.01  5.99e+06  7.47e+03  1.24e+03 
     8.06  5.99e+06  7.78e+03   1.3e+03 
      8.1  5.99e+06   8.1e+03  1.35e+03 
     8.15  5.99e+06  8.42e+03   1.4e+03 
     8.19  5.99e+06  8.75e+03  1.46e+03 
     8.24  5.99e+06  9.08e+03  1.51e+03 
     8.28  5.99e+06  9.41e+03  1.57e+03 
     8.32  5.99e+06  9.75e+03  1.62e+03 
     8.36  5.99e+06  1.01e+04  1.68e+03 
      8.4  5.99e+06  1.04e+04  1.74e+03 
     8.44  5.99e+06  1.08e+04   1.8e+03 
     8.47  5.99e+06  1.11e+04  1.85e+03 
     8.51  5.99e+06  1.15e+04  1.91e+03 
     8.55  5.99e+06  1.18e+04  1.97e+03 
     8.58  5.99e+06  1.22e+04  2.03e+03 
     8.61  5.99e+06  1.25e+04  2.09e+03 
     8.65  5.98e+06  1.29e+04  2.15e+03 
     8.68  5.98e+06  1.33e+04  2.21e+03 
     8.71  5.98e+06  1.36e+04  2.28e+03 
     8.74  5.98e+06   1.4e+04  2.34e+03 
     8.77  5.98e+06  1.44e+04   2.4e+03 
      8.8  5.98e+06  1.48e+04  2.46e+03 
     8.83  5.98e+06  1.51e+04  2.53e+03 
     8.86  5.98e+06  1.55e+04  2.59e+03 
     8.89  5.98e+06  1.59e+04  2.66e+03 
     8.92  5.98e+06  1.63e+04  2.72e+03 
     8.95  5.98e+06  1.67e+04  2.79e+03 
     8.98  5.98e+06  1.71e+04  2.85e+03 
        9  5.98e+06  1.75e+04  2.92e+03 
     9.03  5.98e+06  1.79e+04  2.99e+03 
     9.06  5.98e+06  1.83e+04  3.05e+03 
     9.08  5.98e+06  1.87e+04  3.12e+03 
     9.11  5.98e+06  1.91e+04  3.19e+03 
     9.13  5.98e+06  1.95e+04  3.26e+03 
     9.16  5.98e+06  1.99e+04  3.33e+03 
     9.18  5.98e+06  2.03e+04   3.4e+03 
      9.2  5.98e+06  2.08e+04  3.47e+03 
     9.23  5.98e+06  2.12e+04  3.54e+03 
     9.25  5.97e+06  2.16e+04  3.61e+03 
     9.27  5.97e+06   2.2e+04  3.68e+03 
      9.3  5.97e+06  2.25e+04  3.75e+03 
     9.32  5.97e+06  2.29e+04  3.82e+03 
     9.34  5.97e+06  2.33e+04   3.9e+03 
     9.36  5.97e+06  2.38e+04  3.97e+03 
     9.38  5.97e+06  2.42e+04  4.04e+03 
     9.41  5.97e+06  2.46e+04  4.12e+03 
     9.43  5.97e+06  2.51e+04  4.19e+03 
     9.45  5.97e+06  2.55e+04  4.27e+03 
     9.47  5.97e+06   2.6e+04  4.34e+03 
     9.49  5.97e+06  2.64e+04  4.42e+03 
     9.51  5.97e+06  2.69e+04  4.49e+03 
     9.53  5.97e+06  2.73e+04  4.57e+03 
     9.55  5.97e+06  2.78e+04  4.65e+03 
     9.57  5.97e+06  2.83e+04  4.72e+03 
     9.58  5.97e+06  2.87e+04   4.8e+03 
      9.6  5.97e+06  2.92e+04  4.88e+03 
     9.62  5.97e+06  2.97e+04  4.96e+03 
     9.64  5.96e+06  3.01e+04  5.04e+03 
     9.66  5.96e+06  3.06e+04  5.12e+03 
     9.68  5.96e+06  3.11e+04  5.19e+03 
      9.7  5.96e+06  3.15e+04  5.27e+03 
     9.71  5.96e+06   3.2e+04  5.36e+03 
     9.73  5.96e+06  3.25e+04  5.44e+03 
     9.75  5.96e+06   3.3e+04  5.52e+03 
     9.76  5.96e+06  3.35e+04   5.6e+03 
