    0.204    -0.848     0.321    -0.195     -0.17      1.04    -0.151     0.743     0.312    -0.994    -0.775     0.251     0.464 
    0.208    -0.844     0.323    -0.199    -0.174      1.04    -0.149     0.749     0.307    -0.996    -0.771     0.247     0.464 
    0.213    -0.841     0.324    -0.203    -0.177      1.04    -0.147     0.755     0.303    -0.999    -0.767     0.244     0.464 
    0.217    -0.838     0.325    -0.207     -0.18      1.05    -0.145     0.762     0.299        -1    -0.763      0.24     0.464 
    0.221    -0.835     0.326    -0.212    -0.184      1.05    -0.143     0.768     0.294        -1    -0.759     0.236     0.465 
    0.226    -0.831     0.328    -0.216    -0.187      1.05    -0.141     0.774      0.29     -1.01    -0.754     0.232     0.465 
     0.23    -0.828     0.329     -0.22     -0.19      1.05    -0.139      0.78     0.285     -1.01     -0.75     0.228     0.465 
    0.234    -0.825      0.33    -0.225    -0.193      1.05    -0.137     0.787      0.28     -1.01    -0.746     0.224     0.465 
    0.238    -0.821     0.331    -0.229    -0.197      1.05    -0.135     0.793     0.276     -1.01    -0.741     0.221     0.465 
    0.243    -0.818     0.333    -0.233      -0.2      1.05    -0.133     0.799     0.271     -1.02    -0.736     0.217     0.465 
    0.247    -0.814     0.334    -0.238    -0.203      1.05    -0.131     0.805     0.266     -1.02    -0.732     0.213     0.466 
    0.251    -0.811     0.335    -0.242    -0.206      1.05    -0.129     0.811     0.261     -1.02    -0.727      0.21     0.466 
    0.255    -0.808     0.336    -0.246    -0.209      1.05    -0.127     0.817     0.256     -1.02    -0.722     0.206     0.466 
     0.26    -0.804     0.337    -0.251    -0.212      1.05    -0.125     0.823     0.251     -1.03    -0.717     0.203     0.466 
    0.264    -0.801     0.338    -0.255    -0.215      1.06    -0.123     0.829     0.246     -1.03    -0.712     0.199     0.466 
    0.268    -0.797     0.339    -0.259    -0.218      1.06    -0.121     0.835      0.24     -1.03    -0.707     0.195     0.466 
    0.272    -0.794      0.34    -0.264    -0.221      1.06    -0.119     0.841     0.235     -1.03    -0.701     0.192     0.466 
    0.276     -0.79     0.341    -0.268    -0.224      1.06    -0.117     0.847      0.23     -1.04    -0.696     0.189     0.466 
     0.28    -0.787     0.342    -0.272    -0.227      1.06    -0.115     0.853     0.224     -1.04    -0.691     0.185     0.466 
    0.285    -0.783     0.343    -0.277     -0.23      1.06    -0.113     0.859     0.219     -1.04    -0.685     0.182     0.467 
    0.289    -0.779     0.344    -0.281    -0.232      1.06    -0.111     0.865     0.213     -1.04     -0.68     0.178     0.467 
    0.293    -0.776     0.345    -0.285    -0.235      1.06    -0.109      0.87     0.207     -1.05    -0.674     0.175     0.467 
    0.297    -0.772     0.345     -0.29    -0.238      1.06    -0.108     0.876     0.201     -1.05    -0.668     0.172     0.467 
    0.301    -0.769     0.346    -0.294    -0.241      1.06    -0.106     0.882     0.196     -1.05    -0.662     0.168     0.467 
    0.305    -0.765     0.347    -0.298    -0.243      1.06    -0.104     0.887      0.19     -1.05    -0.657     0.165     0.467 
    0.309    -0.761     0.348    -0.302    -0.246      1.06    -0.102     0.893     0.184     -1.05    -0.651     0.162     0.467 
    0.313    -0.758     0.349    -0.307    -0.249      1.06   -0.0999     0.898     0.178     -1.06    -0.645     0.158     0.467 
    0.317    -0.754     0.349    -0.311    -0.251      1.07    -0.098     0.904     0.172     -1.06    -0.639     0.155     0.467 
    0.322     -0.75      0.35    -0.315    -0.254      1.07   -0.0961     0.909     0.165     -1.06    -0.632     0.152     0.467 
